"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, January to March 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E07000221,Stratford-on-Avon,,48,,1,1,0,0,,45,0,44,1,,2,0,0,0,0
E07000082,Stroud,,8,,5,5,0,0,,2,1,1,0,,1,0,0,0,0
E08000024,Sunderland,,71,,15,15,0,0,,50,1,37,12,,2,0,1,1,2
E07000214,Surrey Heath,,6,,1,1,0,0,,5,0,5,0,,0,0,0,0,0
E09000029,Sutton,,85,,54,46,6,2,,16,4,3,9,,15,0,0,0,0
E07000113,Swale,,69,,41,36,5,0,,16,0,14,2,,9,0,0,3,0
E06000030,Swindon,,27,,18,16,2,0,,9,3,0,6,,0,0,0,0,0
E08000008,Tameside,,53,,12,11,1,0,,27,0,15,12,,12,1,1,0,0
E07000199,Tamworth,,20,,5,5,0,0,,10,3,3,4,,5,0,0,0,0
E07000215,Tandridge,,13,,11,11,0,0,,2,1,0,1,,0,0,0,0,0
E07000045,Teignbridge,,86,,42,34,5,3,,36,0,28,8,,1,0,4,0,3
E06000020,Telford & Wrekin,,71,,13,10,3,0,,52,0,52,0,,4,0,1,0,1
E07000076,Tendring,,137,,35,33,2,0,,102,94,5,3,,0,0,0,0,0
E07000093,Test Valley,,30,,9,8,0,1,,19,1,12,6,,0,1,0,1,0
E07000083,Tewkesbury,,34,,10,9,0,1,,23,0,22,1,,0,1,0,0,0
E07000114,Thanet,,148,,125,122,2,1,,21,3,15,3,,1,0,1,0,0
E07000102,Three Rivers,,26,,6,5,1,0,,11,0,10,1,,7,1,0,1,0
E06000034,Thurrock,,27,,20,15,5,0,,3,3,0,0,,2,0,0,2,0
E07000115,Tonbridge & Malling,,31,,6,5,0,1,,15,0,15,0,,8,0,0,1,1
E06000027,Torbay,,24,,14,14,0,0,,7,0,4,3,,2,1,0,0,0
E07000046,Torridge,,47,,27,24,3,0,,16,0,14,2,,1,0,0,3,0
E09000030,Tower Hamlets,,99,,26,18,8,0,,51,14,31,6,,4,0,0,2,16
E08000009,Trafford,,102,,16,16,0,0,,74,4,61,9,,11,0,0,0,1
E07000116,Tunbridge Wells,,43,,22,19,2,1,,17,4,3,10,,3,1,0,0,0
E07000077,Uttlesford,,8,,3,3,0,0,,5,2,3,0,,0,0,0,0,0
E07000180,Vale of White Horse,,62,,17,13,3,1,,32,0,27,5,,6,5,1,1,0
