,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000052,Cornwall,,,527,,134,,10,1,4,1,9,,3,74,3,3,14,12,,22,102,36,68,10,,14,4,4,6,,22,4,11,7,,68,0,51
E07000079,Cotswold,,,5,,3,,0,0,2,0,0,,0,1,0,0,0,0,,0,0,0,0,0,,1,1,0,0,,0,0,0,0,,0,0,1
E06000047,County Durham,,,409,,99,,57,0,0,1,9,,0,30,0,1,0,1,,0,142,41,57,13,,8,2,4,2,,11,0,4,7,,26,0,12
E08000026,Coventry,,,229,,44,,6,0,3,2,2,,0,25,1,0,1,4,,13,45,7,7,7,,12,7,3,2,,22,6,3,13,,1,14,57
E07000163,Craven,,,18,,4,,0,0,0,0,1,,0,2,0,0,0,1,,1,2,1,2,0,,1,1,0,0,,1,0,1,0,,2,0,4
E07000226,Crawley,,,46,,15,,1,0,0,1,2,,1,9,0,0,0,1,,5,17,3,2,1,,0,0,0,0,,3,0,1,2,,0,0,0
E09000008,Croydon,,,182,,78,,1,1,0,0,15,,0,49,5,0,0,7,,2,76,2,2,1,,1,0,0,1,,2,0,0,2,,0,0,18
E07000096,Dacorum,,,91,,25,,1,1,0,0,3,,0,18,0,1,0,1,,4,24,5,6,5,,5,1,0,4,,3,1,1,1,,0,1,13
E06000005,Darlington,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
E07000107,Dartford,,,64,,28,,2,0,0,0,3,,0,21,0,0,0,2,,1,20,1,6,0,,0,0,0,0,,0,0,0,0,,1,0,7
E06000015,Derby,,,440,,91,,4,1,11,5,0,,4,52,4,1,3,6,,5,133,38,79,20,,8,4,0,4,,44,6,20,18,,2,13,7
E07000035,Derbyshire Dales,,,55,,6,,0,0,1,0,0,,0,3,0,0,0,2,,1,18,13,9,1,,2,1,0,1,,0,0,0,0,,0,0,5
E08000017,Doncaster,,,123,,28,,0,0,0,0,2,,2,20,0,0,0,4,,1,25,12,10,2,,0,0,0,0,,3,0,1,2,,2,0,40
E06000059,Dorset,,,180,,55,,1,0,2,0,1,,1,42,1,0,0,7,,10,54,21,5,1,,3,2,0,1,,0,0,0,0,,1,0,30
E07000108,Dover,,,67,,26,,0,0,0,0,1,,1,17,0,0,0,7,,7,13,4,2,0,,1,1,0,0,,2,0,0,2,,1,0,11
E08000027,Dudley,,,65,,35,,0,0,0,0,0,,0,18,0,1,1,15,,1,3,14,5,1,,0,0,0,0,,0,0,0,0,,0,0,6
E09000009,Ealing,,,329,,76,,0,1,1,2,4,,0,41,1,0,0,26,,13,91,13,12,7,,5,2,0,3,,0,0,0,0,,4,4,104
E07000009,East Cambridgeshire,,,64,,15,,0,0,1,0,3,,0,11,0,0,0,0,,2,16,7,3,1,,10,9,1,0,,1,0,1,0,,2,0,7
E07000040,East Devon,,,87,,11,,0,0,1,0,0,,2,7,0,0,0,1,,3,32,12,9,1,,3,1,0,2,,0,0,0,0,,2,0,14
